MON,1928,Summer,Monaco
FRG,1976,Winter,West Germany
AUT,2004,Summer,Austria-1
GBR,1996,Summer,Great Britain
TUR,1984,Summer,Turkey
ARU,2016,Summer,Aruba
ARG,2016,Summer,Argentina-2
COD,1988,Summer,Congo (Kinshasa)
RUS,2016,Summer,Russia
SEY,2012,Summer,Seychelles
INA,2000,Summer,Indonesia-2
POR,2010,Winter,Portugal
IRL,1998,Winter,Ireland
SUI,2014,Winter,Switzerland-2
FIN,1960,Summer,Rififi
FRA,1900,Summer,Sarcelle-35
NOR,1976,Winter,Norway-1
ESP,1984,Winter,Spain
EST,2006,Winter,Estonia
GRE,2014,Winter,Greece
BLR,1994,Winter,Belarus
ARM,2004,Summer,Armenia
BEL,1956,Winter,Belgium
RUS,1912,Summer,Bylina-2
IRL,2014,Winter,Ireland
PER,1996,Summer,Peru
AUS,1924,Summer,Australia
TCH,1972,Winter,Czechoslovakia
CHI,2002,Winter,Chile
MYA,2008,Summer,Myanmar
GUY,1960,Summer,Guyana
USA,2008,Summer,Ravel
BUL,1952,Summer,Bulgaria
CYP,1988,Winter,Cyprus
MAS,2000,Summer,Malaysia-2
BEN,1980,Summer,Benin
NGR,1952,Summer,Nigeria
ROU,1960,Summer,Romania
TPE,1972,Winter,Chinese Taipei
RUS,2004,Summer,Russia-1
IRL,2002,Winter,Ireland
FIN,1992,Winter,Finland
PRK,1992,Summer,North Korea-1
HUN,1994,Winter,Hungary
KOR,2016,Summer,South Korea
SWE,1924,Summer,Sweden-2
USA,1968,Winter,United States
GRE,1988,Summer,Greece
ANT,1992,Summer,Antigua and Barbuda
FRA,1968,Summer,France
ZIM,1996,Summer,Zimbabwe
SWE,2012,Summer,Sweden
CHN,1992,Summer,China-2
ALG,2004,Summer,Algeria
NOR,1932,Summer,Norway
PHI,1988,Summer,Philippines
MAW,1988,Summer,Malawi
HAI,1900,Summer,Haiti
SUD,1992,Summer,Sudan
POR,1968,Summer,Portugal
MDA,2016,Summer,Moldova
LCA,1996,Summer,Saint Lucia
ESA,2016,Summer,El Salvador
KOR,2004,Summer,South Korea-1
ITA,1972,Winter,Italy
CYP,1980,Summer,Cyprus
SOL,1988,Summer,Solomon Islands
DEN,1988,Summer,Denmark
FRA,1900,Summer,Ducky-4
ITA,1936,Summer,Augsburg
THA,1956,Summer,Tichiboo
EGY,1952,Summer,Egypt
IND,1998,Winter,India
BEL,1920,Summer,Belgium-1
USA,2008,Summer,United States
AZE,2014,Winter,Azerbaijan
MGL,1998,Winter,Mongolia
BUR,1996,Summer,Burkina Faso
ROU,1952,Winter,Romania
LIB,2006,Winter,Lebanon
LTU,1928,Summer,Lithuania
EGY,1956,Summer,Egypt
NOR,1984,Summer,Norway
FRA,1924,Winter,France
IND,2014,Winter,India
MGL,2014,Winter,Mongolia
CUB,2000,Summer,Cuba
ROU,1956,Winter,Romania
GRN,2004,Summer,Grenada
CAN,2016,Summer,Canada
ROU,1984,Winter,Romania-1
KEN,2016,Summer,Kenya
INA,1952,Summer,Indonesia
PHI,2008,Summer,Philippines
PAR,1992,Summer,Paraguay
CRC,1964,Summer,Costa Rica
SOM,2016,Summer,Somalia
TCH,1924,Summer,Czechoslovakia-2
ITA,1906,Summer,Bucintoro Venezia
FRA,1992,Winter,France-2
RUS,2008,Summer,Russia-1
NEP,2008,Summer,Nepal
IRL,1984,Summer,Ireland
URS,1956,Summer,Kon-Tiki
SWE,2002,Winter,Sweden
MGL,2002,Winter,Mongolia
GRE,1948,Summer,Nephos I
NED,2008,Summer,Salinero
PRK,1964,Winter,North Korea
USA,2004,Summer,United States
FRA,1948,Summer,Allegro
NOR,1912,Summer,Norway
CHN,2016,Summer,China-2
NOR,1912,Summer,Studenternes Roklub-2
GRE,1920,Summer,Greece
LIB,1960,Winter,Lebanon
NED,2004,Summer,Netherlands
VNM,1964,Summer,South Vietnam
USA,1992,Summer,United States-2
NOR,1960,Summer,Norway
CHI,1976,Winter,Chile
SWE,1912,Summer,Sweden
USA,1904,Summer,United States-9
USA,1904,Summer,United States-1
RSA,1996,Summer,South Africa
HUN,1924,Summer,Hungary
GHA,2000,Summer,Ghana
FRA,1964,Summer,France
ISR,2004,Summer,Israel
NOR,1936,Summer,Silja
ESP,2010,Winter,Spain
NED,1964,Winter,Netherlands
GBR,1908,Summer,Sea Dog-2
CAY,2000,Summer,Cayman Islands
GBR,1956,Summer,Vision
CRC,1988,Winter,Costa Rica
TTO,1964,Summer,Firebird II
CHN,2002,Winter,China-1
GER,1932,Summer,Germany
FRA,1900,Summer,France/Great Britain
IRQ,2008,Summer,Iraq
IND,1932,Summer,India
POR,1964,Summer,Portugal
NGR,1992,Summer,Nigeria-1
BOT,1996,Summer,Botswana
CAN,1972,Summer,Canada
ISV,1996,Summer,United States Virgin Islands
ITA,1932,Winter,Italy
GBR,1896,Summer,Great Britain/Germany
DEN,1956,Summer,Tip
YUG,1952,Summer,Yugoslavia
ITA,1904,Summer,Italy
COM,2000,Summer,Comoros
FRA,1996,Summer,France
SEN,1968,Summer,Senegal
FRA,1900,Summer,Crabe II-12
NED,2014,Winter,Netherlands
USA,1984,Winter,United States-1
GDR,1980,Winter,East Germany
ARG,1972,Summer,Argentina
AUS,2002,Winter,Australia
CAN,1996,Summer,Canada-2
CZE,2008,Summer,Czech Republic-2
SUI,1988,Winter,Switzerland-1
LIB,1960,Summer,Maid of Lebanon
GDR,1980,Winter,East Germany-2
STP,2004,Summer,Sao Tome and Principe
CAM,2016,Summer,Cambodia
ARG,1948,Winter,Argentina
FRG,1984,Winter,West Germany-1
KOR,1968,Winter,South Korea
TUR,1924,Summer,Turkey
HUN,1964,Winter,Hungary
MOZ,1992,Summer,Mozambique
URS,1956,Summer,Neptun II
SUI,1972,Winter,Switzerland
IND,1984,Summer,India
USA,1904,Summer,Germany/United States
UKR,2002,Winter,Ukraine-1
GBR,1906,Summer,Smyrna
AUS,1988,Winter,Australia-2
ESA,2000,Summer,El Salvador
RSA,2012,Summer,South Africa
DOM,1988,Summer,Dominican Republic
ITA,2014,Winter,Italy-1
CAN,1948,Summer,Ariel
MON,1992,Winter,Monaco-2
CAN,1924,Winter,Canada
USA,2016,Summer,United States-2
HKG,2014,Winter,Hong Kong
ITA,1980,Winter,Italy-1
URU,1936,Summer,Heidelberg
HAI,1988,Summer,Haiti
URU,1998,Winter,Uruguay
BLR,2008,Summer,Belarus
CUB,1952,Summer,Cuba
BOT,2012,Summer,Botswana
IRI,2006,Winter,Iran
TUR,1968,Summer,Turkey
KUW,1996,Summer,Kuwait
GEO,2012,Summer,Georgia
ITA,1972,Winter,Italy-2
CAN,1964,Winter,Canada-1
USA,1904,Summer,Missouri Athletic Club-3
GBR,2012,Summer,Great Britain
SWE,1912,Summer,Erna Signe
USA,1896,Summer,United States
GER,1960,Summer,Germany
CZE,2016,Summer,Czech Republic-1
SWE,1976,Winter,Sweden
CUB,1956,Summer,Cuba
IND,1960,Summer,India
USA,1992,Winter,United States
POR,2012,Summer,Portugal
BUL,1956,Summer,Bulgaria
JPN,2008,Summer,Japan
KGZ,2010,Winter,Kyrgyzstan
NOR,1912,Summer,Taifun
CZE,2010,Winter,Czech Republic-2
FRA,1992,Summer,France
TJK,2016,Summer,Tajikistan
CZE,2006,Winter,Czech Republic-2
ITA,1960,Winter,Italy
ESP,2016,Summer,Spain-2
FRG,1972,Winter,West Germany-1
ESP,1992,Winter,Spain
YUG,1984,Winter,Yugoslavia
ZAM,2016,Summer,Zambia
FIN,2002,Winter,Finland
MAS,1996,Summer,Malaysia
SEN,2016,Summer,Senegal
SUR,2012,Summer,Suriname
BER,1984,Summer,Bermuda
CHN,1948,Summer,China
CYP,1992,Summer,Cyprus
AND,1994,Winter,Andorra
GER,2010,Winter,Germany-1
UZB,1994,Winter,Uzbekistan
BAH,1984,Summer,Bahamas
USA,1988,Summer,United States
RSA,2002,Winter,South Africa
CAN,1948,Summer,Canada
ISL,1952,Summer,Iceland
POR,1988,Winter,Portugal-2
FIN,1912,Summer,Heatherbell
SUI,2002,Winter,Switzerland-1
PUR,1956,Summer,Puerto Rico
KUW,2012,Summer,Kuwait
CHN,2008,Summer,China-3
SCG,2000,Summer,Serbia and Montenegro
RSA,1912,Summer,South Africa
ROU,1956,Winter,Romania-2
AUT,1996,Summer,Austria-2
AUS,1976,Winter,Australia
NED,1900,Summer,Mascotte
NZL,1984,Summer,New Zealand
PRK,1992,Summer,North Korea-2
GBR,1936,Summer,Saskia
AUS,1968,Summer,Australia
FRA,1900,Summer,Martha-1
CAN,2002,Winter,Canada-2
GRE,1906,Summer,"Lemzos Thorichton ""Psara""-3"
PRK,2010,Winter,North Korea
AUS,1964,Summer,Barrenjoey
MAS,2012,Summer,Malaysia
SWE,1932,Summer,Sweden
DEN,1964,Summer,Miss Denmark 1964
SRI,1988,Summer,Sri Lanka
MAS,2008,Summer,Malaysia-2
MLI,1980,Summer,Mali
TPE,2010,Winter,Chinese Taipei
DEN,2006,Winter,Denmark
BAH,1968,Summer,Bahamas
GBR,2004,Summer,Great Britain-2
SVK,2004,Summer,Slovakia-2
GUA,1984,Summer,Guatemala
BRA,1960,Summer,Pimm
NOR,2008,Summer,Norway-2
LIE,2000,Summer,Liechtenstein
POR,1952,Summer,Sjhxa
UZB,1994,Winter,Uzbekistan-2
KAZ,2016,Summer,Kazakhstan
FRA,1948,Summer,LaBandera
ITA,1932,Winter,Italy-2
POL,1976,Winter,Poland-1
JPN,1992,Summer,Japan-3
BEL,1992,Summer,Belgium
AUS,1980,Winter,Australia
NZL,1960,Summer,New Zealand
GUA,1952,Summer,Guatemala
DEN,1936,Summer,Anitra
NBO,1956,Summer,North Borneo
NOR,1988,Winter,Norway
CHN,2010,Winter,China-3
GUY,2016,Summer,Guyana
HKG,1956,Summer,Hong Kong
JPN,1960,Winter,Japan
NZL,1972,Summer,New Zealand
VIN,2004,Summer,Saint Vincent and the Grenadines
FIN,1960,Summer,Bella
ROU,2016,Summer,Romania
BHU,2012,Summer,Bhutan
MAR,1992,Winter,Morocco
GER,1992,Winter,Germany-1
HUN,1948,Winter,Hungary-1
GER,1928,Summer,Germany
ITA,1984,Winter,Italy-2
AUT,2006,Winter,Austria-1
AUT,1984,Winter,Austria-1
CMR,1980,Summer,Cameroon
ARG,1960,Summer,Mizar
JAM,1972,Summer,Jamaica
TUV,2016,Summer,Tuvalu
AUT,1998,Winter,Austria-2
GRN,1988,Summer,Grenada
BOL,1972,Summer,Bolivia
JOR,1980,Summer,Jordan
FIN,1968,Summer,Finland
ALG,2008,Summer,Algeria
KOR,1994,Winter,South Korea
NGR,1984,Summer,Nigeria
BUL,2008,Summer,Bulgaria
FRA,2006,Winter,France-2
HUN,1936,Summer,Knigsberg
AUT,2010,Winter,Austria
AUT,2014,Winter,Austria-2
SWE,1960,Summer,Sweden
ARM,2006,Winter,Armenia
ROU,2016,Summer,Romania-1
CMR,2004,Summer,Cameroon
GAB,1992,Summer,Gabon
AUS,1900,Summer,Australia
TCH,1992,Winter,Czechoslovakia
CHN,1996,Summer,China-1
KOR,1948,Summer,South Korea
HUN,2014,Winter,Hungary
JOR,2004,Summer,Jordan
PER,1960,Summer,Peru
SVK,2016,Summer,Slovakia
URS,1984,Winter,Soviet Union
TPE,1992,Winter,Chinese Taipei
THA,1992,Summer,Thailand
AUT,2002,Winter,Austria-2
TUN,1984,Summer,Tunisia
CRO,2014,Winter,Croatia
FIJ,1996,Summer,Fiji
ISR,1988,Summer,Israel
AUS,1996,Summer,Australia
FRA,1980,Summer,France
EGY,1984,Summer,Egypt
YEM,1996,Summer,Yemen
AUT,1972,Winter,Austria-1
GBR,1952,Winter,Great Britain
HAI,1984,Summer,Haiti
TCH,1992,Winter,Czechoslovakia-2
ESP,1968,Winter,Spain-1
CHA,1964,Summer,Chad
COL,1980,Summer,Colombia
GBR,1994,Winter,Great Britain-1
POR,1952,Winter,Portugal
FRA,1928,Winter,France-2
CUB,2004,Summer,Cuba
JPN,1988,Summer,Japan
SUI,1952,Summer,Switzerland
AUS,1988,Winter,Australia-1
NED,1952,Summer,Netherlands
GER,1960,Summer,Dinah V
GBR,1900,Summer,"Osborne Swimming Club, Manchester"
FRA,1924,Summer,France-1
ALG,2006,Winter,Algeria
HUN,1988,Summer,Hungary
TPE,1988,Summer,Chinese Taipei
LIE,1952,Summer,Liechtenstein
MEX,1948,Summer,Mexico
AHO,1968,Summer,Netherlands Antilles
USA,1900,Summer,Foxhunters Hurlingham
SWE,1996,Summer,Sweden-2
LUX,1920,Summer,Luxembourg
GER,1900,Summer,"Germania Ruder Club, Hamburg"
HUN,1912,Summer,Hungary-2
RSA,1932,Summer,South Africa
URS,1968,Winter,Soviet Union
TUN,1996,Summer,Tunisia
INA,1984,Summer,Indonesia
SMR,2016,Summer,San Marino
RUS,2004,Summer,Russia
GDR,1968,Winter,East Germany-1
MTN,2012,Summer,Mauritania
GRE,2004,Summer,Greece-1
FIJ,2012,Summer,Fiji
BIZ,1992,Summer,Belize
BOL,1964,Summer,Bolivia
SWE,1948,Summer,Chance
GBR,1900,Summer,United States/Great Britain
MDV,1988,Summer,Maldives
CZE,2012,Summer,Czech Republic
SUI,1932,Winter,Switzerland
ALB,2014,Winter,Albania
NZL,1988,Winter,New Zealand-1
GRE,1936,Winter,Greece
LES,2016,Summer,Lesotho
YUG,1992,Winter,Yugoslavia
USA,1904,Summer,Christian Brothers' College-1
ESP,1924,Summer,Spain
NED,2008,Summer,Netherlands-1
FIN,1996,Summer,Finland
BRN,1992,Summer,Bahrain
GDR,1976,Winter,East Germany
FRA,2014,Winter,France-1
COL,2016,Summer,Colombia
SLO,1994,Winter,Slovenia
EUN,1992,Winter,Unified Team-1
GDR,1976,Winter,East Germany-2
LTU,2006,Winter,Lithuania
DOM,1968,Summer,Dominican Republic
BAH,1992,Summer,Bahamas
ESP,2004,Summer,Spain-1
USA,2006,Winter,United States
AUT,1908,Summer,Austria
KOR,2004,Summer,South Korea
SUI,1984,Winter,Switzerland
CHI,1952,Winter,Chile
GER,1936,Summer,Germany
CRO,2010,Winter,Croatia
CAN,1988,Winter,Canada-3
UZB,1996,Summer,Uzbekistan
AFG,1948,Summer,Afghanistan
MLI,2000,Summer,Mali
CYP,2016,Summer,Cyprus
ESA,2004,Summer,El Salvador
AND,2006,Winter,Andorra
SWZ,1972,Summer,Swaziland
URS,1952,Summer,Burevestnik
RSA,1960,Summer,South Africa
AUT,1952,Winter,Austria-2
USA,1936,Summer,Three Star Too
RUS,2008,Summer,Russia
NED,1920,Summer,Oranje
POL,2012,Summer,Poland-2
ROU,2016,Summer,Romania-2
CRC,2004,Summer,Costa Rica
MRI,2004,Summer,Mauritius
NOR,1912,Summer,Norway-3
CAN,1956,Summer,Beaver
THA,1976,Summer,Thailand
CZE,2002,Winter,Czech Republic
MEX,1984,Winter,Mexico
NOR,2000,Summer,Norway-1
EGY,1988,Summer,Egypt
USA,1960,Winter,United States
NOR,1920,Summer,Marmi II-1
ROU,1936,Summer,Romania
SWE,1952,Summer,Lotta IV
FIN,1976,Winter,Finland
TUR,1972,Summer,Turkey
GDR,1976,Winter,East Germany-3
GBR,1936,Winter,Great Britain-1
GER,1908,Summer,Berliner Ruderclub
AHO,1996,Summer,Netherlands Antilles
PRK,1998,Winter,North Korea
NOR,1920,Summer,Lyn-2
LIE,1968,Winter,Liechtenstein
GER,2002,Winter,Germany-1
CAN,1964,Summer,Glisten
LUX,1900,Summer,Luxembourg
BRA,2004,Summer,Brazil
CAN,2004,Summer,Canada
SWE,1936,Winter,Sweden
FRA,1900,Summer,France-1
ISV,2000,Summer,United States Virgin Islands
ESP,1968,Summer,Spain
UZB,2012,Summer,Uzbekistan
FRA,1936,Winter,France-2
DOM,2016,Summer,Dominican Republic
CRO,1998,Winter,Croatia
NGR,1988,Summer,Nigeria-2
ISL,2014,Winter,Iceland
KOR,2008,Summer,South Korea
ECU,1980,Summer,Ecuador
PAK,1976,Summer,Pakistan
CAN,1996,Summer,Canada-1
TUR,1996,Summer,Turkey
CUB,1924,Summer,Hatuey
JPN,1988,Winter,Japan-2
PNG,1996,Summer,Papua New Guinea
TOG,2000,Summer,Togo
BUL,1948,Winter,Bulgaria
GBR,1980,Winter,Great Britain-1
GBR,1924,Winter,Great Britain
ITA,1998,Winter,Italy
TTO,1948,Summer,Trinidad and Tobago
NED,1900,Summer,Netherlands
SWE,1924,Summer,Aloha II
USA,1904,Summer,"Passaic Turnverein, Passaic"
TPE,2002,Winter,Chinese Taipei
VIN,1988,Summer,Saint Vincent and the Grenadines
GER,1998,Winter,Germany-2
ASA,1996,Summer,American Samoa
THA,2004,Summer,Thailand
ISL,1908,Summer,Iceland
BUL,2006,Winter,Bulgaria
USA,1904,Summer,United States-10
USA,1948,Summer,Llanoria
GRE,1984,Summer,Greece
PLE,2016,Summer,Palestine
GER,1992,Summer,Germany
ITA,1960,Summer,Voloira II
SWE,1912,Summer,Vaxholm Roddklubb
FRA,1956,Winter,France
RSA,1960,Summer,Hakahana
BEN,2000,Summer,Benin
MYA,1952,Summer,Myanmar
URS,1980,Winter,Soviet Union-1
BEL,1900,Summer,Royal Club Nautique de Gand
MEX,1928,Summer,Mexico
COL,2000,Summer,Colombia
IVB,2012,Summer,British Virgin Islands
SUI,1956,Summer,Switzerland
ARG,1936,Summer,Wiking
PNG,2012,Summer,Papua New Guinea
UZB,2002,Winter,Uzbekistan
SRB,2008,Summer,Serbia
MAL,1956,Summer,Malaya
CHN,2002,Winter,China-3
USA,1904,Summer,Chicago Athletic Association-2
TUN,1992,Summer,Tunisia
AND,1988,Summer,Andorra
PAN,1972,Summer,Panama
SWE,1912,Summer,Roddklubben af 1912-1
HAI,1972,Summer,Haiti
FRA,1900,Summer,Carabinier-15
MYA,1968,Summer,Myanmar
PHI,1924,Summer,Philippines
GBR,1948,Summer,Great Britain
LIE,1964,Winter,Liechtenstein
AUS,1952,Winter,Australia
GER,1952,Summer,Nirwana
BUR,1992,Summer,Burkina Faso
SVK,2000,Summer,Slovakia
OMA,1996,Summer,Oman
POL,1972,Summer,Poland-1
URS,1984,Winter,Soviet Union-2
VAN,2016,Summer,Vanuatu
SGP,1996,Summer,Singapore
DEN,1928,Summer,Hi-Hi
NOR,1906,Summer,Norway
USA,1904,Summer,"New York Turnverein, New York"
GBR,1908,Summer,Great Britain-3
FRG,1988,Winter,West Germany-2
URU,1924,Summer,Uruguay
GRE,1972,Summer,Greece
SKN,2016,Summer,Saint Kitts and Nevis
SYR,2016,Summer,Syria
BRA,1936,Summer,Brazil
ITA,1924,Summer,Italy
IRL,1972,Summer,Ireland
HUN,1912,Summer,Hungary
GBR,2010,Winter,Great Britain-1
TCH,1920,Summer,Czechoslovakia
SLE,2016,Summer,Sierra Leone
TUN,2012,Summer,Tunisia
KOR,1996,Summer,South Korea-2
CAN,2002,Winter,Canada-1
TJK,2004,Summer,Tajikistan
URS,1960,Winter,Soviet Union-2
CAN,1960,Summer,Mad Dog
CAF,2016,Summer,Central African Republic
FRA,2002,Winter,France-1
SEY,2000,Summer,Seychelles
FRA,2010,Winter,France-2
SWE,1988,Winter,Sweden
NZL,1968,Summer,New Zealand
CHI,1956,Winter,Chile
ARG,2004,Summer,Argentina-1
POL,1956,Winter,Poland-1
GAB,1972,Summer,Gabon
OMA,2012,Summer,Oman
SUI,1956,Winter,Switzerland-2
AUS,1932,Summer,Australia
TCH,1968,Summer,Czechoslovakia
ARM,2010,Winter,Armenia
USA,1900,Summer,Union des Socits Franais de Sports Athletiques
LBA,2008,Summer,Libya
COD,2016,Summer,Congo (Kinshasa)
TPE,1968,Summer,Chinese Taipei
POL,1998,Winter,Poland
AUT,1956,Winter,Austria-2
PHI,1968,Summer,Philippines
COL,1976,Summer,Colombia
FRA,1992,Winter,France-3
GER,1904,Summer,Germany
LES,2000,Summer,Lesotho
POR,1976,Summer,Portugal
POL,1968,Winter,Poland-2
CAN,1956,Winter,Canada-2
RUS,1912,Summer,Norman-1
ESP,1976,Winter,Spain
KOR,2012,Summer,South Korea-2
KEN,2004,Summer,Kenya
MGL,1972,Summer,Mongolia
ITA,1998,Winter,Italy-2
GBR,1984,Winter,Great Britain
POL,1980,Winter,Poland
ISL,1980,Winter,Iceland
MLT,2008,Summer,Malta
ECU,1992,Summer,Ecuador
KOR,1988,Summer,South Korea
MAD,1984,Summer,Madagascar
ARG,1976,Winter,Argentina
CHI,2016,Summer,Chile
BEL,1908,Summer,Royal Club Nautique de Gand
UKR,1998,Winter,Ukraine-2
LIB,2010,Winter,Lebanon
KGZ,1996,Summer,Kyrgyzstan
GBR,1992,Winter,Great Britain-1
GBR,1912,Summer,"New College, Oxford-2"
NZL,1956,Summer,Red Dragon
BIZ,1976,Summer,Belize
BEL,1936,Winter,Belgium-1
LUX,1936,Winter,Luxembourg
URS,1964,Summer,Almaz
DMA,2014,Winter,Dominica
RUS,2010,Winter,Russia-2
TUR,1956,Winter,Turkey
MLI,2008,Summer,Mali
AUS,1960,Summer,Australia
FIN,1948,Summer,Finland
GBR,1908,Summer,Hurlingham-2
BHU,2016,Summer,Bhutan
AUT,1968,Summer,Austria
JPN,2010,Winter,Japan
RSA,1920,Summer,South Africa-1
GER,1900,Summer,Aschenbrodel
LUX,1998,Winter,Luxembourg
GBR,1908,Summer,Great Britain-1
GER,1992,Summer,Germany-3
NZL,1964,Summer,New Zealand
SKN,2000,Summer,Saint Kitts and Nevis
SYR,2000,Summer,Syria
BOL,2016,Summer,Bolivia
HUN,1992,Winter,Hungary-1
ANT,2000,Summer,Antigua and Barbuda
MOZ,2016,Summer,Mozambique
ARU,2000,Summer,Aruba
RSA,1948,Summer,South Africa
JPN,1964,Summer,Riccar
FRA,1900,Summer,Jeanette-25
JAM,1992,Winter,Jamaica-2
FRA,1976,Winter,France-1
LUX,2014,Winter,Luxembourg
ITA,2002,Winter,Italy
GDR,1972,Summer,East Germany-2
SOM,1988,Summer,Somalia
USA,1936,Summer,Angelita
TUN,1960,Summer,Tunisia
PHI,1964,Summer,Philippines
PAK,2014,Winter,Pakistan
NED,2016,Summer,Netherlands-2
KGZ,2012,Summer,Kyrgyzstan
PRK,1996,Summer,North Korea
INA,1996,Summer,Indonesia-1
